ds,MSFT_real,MSFT_forecast,AAPL_real,AAPL_forecast,AMZN_real,AMZN_forecast,GOOGL_real,GOOGL_forecast,META_real,META_forecast
2023-05-15,306.3882141113281,304.36421174820896,171.16102600097656,171.56008932433377,111.19999694824219,106.99270856202179,116.37643432617188,115.48520103400172,238.3701629638672,236.96973801959274
2023-05-16,308.6455993652344,304.9720188684857,171.16102600097656,171.5562782511904,113.4000015258789,106.9182995561373,119.37300109863281,116.08291558212079,238.33026123046875,238.61243974050777
2023-05-17,311.562744140625,306.3262507497275,171.77774047851562,171.65154122691052,115.5,107.41861496732949,120.70146942138672,116.529504632534,241.9927215576172,240.5127920136197
2023-05-18,316.0476379394531,307.1380189151995,174.12525939941406,171.56176403673734,118.1500015258789,107.8727870631768,122.68919372558594,116.9968277648418,246.3437957763672,241.99224868099552
2023-05-19,315.8690490722656,308.41704901674086,174.23471069335938,172.08028685310177,116.25,108.59076646173688,122.61927032470703,117.67475115346468,245.13626098632812,244.28921979953589
2023-05-22,318.6870422363281,311.2566574164029,173.27975463867188,172.90492198211294,115.01000213623047,110.74593123350357,124.90664672851562,119.11336232898599,247.81077575683594,248.05791392357588
2023-05-23,312.81298828125,311.73533116080836,170.65370178222656,173.0180659393149,114.98999786376953,110.8659560666836,122.41949462890625,119.50597878857359,246.2340087890625,249.16182361543397
2023-05-24,311.4139099121094,312.94671799059546,170.93222045898438,173.2504431787505,116.75,111.51044508543256,120.76140594482422,119.72492935291396,248.69894409179688,250.45129281219243
2023-05-25,323.3902282714844,313.60403786804454,172.076171875,173.31493843573034,115.0,112.05645344393072,123.33844757080078,119.94578614715682,252.1717987060547,251.26664191885092
2023-05-26,330.30609130859375,314.7192537030738,174.5032501220703,174.00137080186178,120.11000061035156,112.81310654340169,124.46714782714844,120.36252039429323,261.50262451171875,252.8660169360944
2023-05-30,328.6391906738281,317.337967284423,176.36338806152344,175.66571328342167,121.66000366210938,114.7398322807541,123.52822875976562,121.09313526817678,261.9816589355469,255.00968726304498
2023-05-31,325.841064453125,318.37675516976765,176.3136444091797,176.07229462950016,120.58000183105469,115.18931086695594,122.7291488647461,121.04684529956552,264.1771240234375,255.72469970069926
2023-06-01,329.99853515625,318.8680434667339,179.13864135742188,176.30001878525835,122.7699966430664,115.50814079540822,123.57817077636719,121.01583578113929,272.05096435546875,256.0403810648852
2023-06-02,332.7966613769531,319.82668056330067,179.99407958984375,177.13531105115416,124.25,116.01248366966209,124.5270767211914,121.19842779249177,272.05096435546875,257.22694252103224
2023-06-05,333.3324890136719,321.1574728558214,178.63133239746094,178.0767935463588,125.30000305175781,117.14619286527873,125.86554718017578,121.25191381302967,270.8334655761719,258.26369606088355
2023-06-06,331.0899963378906,321.1682021221519,178.26329040527344,178.1862272333397,126.61000061035156,116.83601779102266,127.16405487060547,121.2422903117153,270.5639953613281,258.73208576464845
2023-06-07,320.8699645996094,321.9375141817525,176.88063049316406,178.38591428214335,121.2300033569336,117.02669053075952,122.35956573486328,121.1001873476415,263.0594177246094,259.55056711921645
2023-06-08,322.7353820800781,322.1832708159864,179.61610412597656,178.38566587903537,124.25,117.10890902888274,121.99998474121094,121.00684522371587,264.03741455078125,260.0684158002506
2023-06-09,324.25347900390625,322.92167981119394,180.00404357910156,178.9733923227786,123.43000030517578,117.40552996524981,122.08988189697266,121.16091612460248,264.40667724609375,261.54762657046257
2023-06-12,329.274169921875,324.35038018774827,182.819091796875,179.84267615074094,126.56999969482422,118.14208246416717,123.49826049804688,121.32409244452415,270.494140625,263.88804817943463
2023-06-13,331.6952819824219,324.4457660861747,182.3416290283203,179.90804438020405,126.66000366210938,117.78664672202315,123.68804931640625,121.41007163807427,270.76361083984375,264.8846896433247
2023-06-14,334.7215576171875,325.32390821180223,182.97825622558594,180.060090242616,126.41999816894531,117.97827713839403,123.52822875976562,121.38845935468859,272.7894592285156,266.2510560789438
